Almanca,Azərbaycanca,Kateqoriya,Qeyd
"Weihnachten (Sg.)","Milad / Yeni il","Bayram",""
"Karneval (Sg.)","Karnaval","Bayram",""
"der Norden / Süden / Westen / Osten","istiqamətlər","İstiqamət",""
"der Frühling / Sommer / Herbst / Winter","fəsillər","Fəsil",""
"der Montag","bazar ertəsi","Həftə günü",""
"der Dienstag","çərşənbə axşamı","Həftə günü",""
"der Mittwoch","çərşənbə","Həftə günü",""
"der Donnerstag","cümə axşamı","Həftə günü",""
"der Freitag","cümə","Həftə günü",""
"der Samstag","şənbə","Həftə günü",""
"der Sonntag","bazar","Həftə günü",""
"das Wochenende, -n","həftə sonu","Həftə günü",""
"der Morgen / Mittag / Abend","günün vaxtları","Günün vaxtı",""
"die Nacht, -e","gecə","Günün vaxtı",""
"die Minute, -n","dəqiqə","Zaman",""
"die Stunde, -n","saat (60 dəqiqə)","Zaman",""
"der Tag, -e","gün","Zaman",""
"die Woche, -n","həftə","Zaman",""
"das Jahr, -e","il","Zaman",""
"die Grundschule, -n","ibtidai məktəb","Məktəb",""
"die Hauptschule, -n","əsas məktəb","Məktəb",""
"das Gymnasium, Gymnasien","gimnaziya","Məktəb",""
"die Sprachschule, -n","dil məktəbi","Məktəb",""
"Mathematik (Mathe)","riyaziyyat","Dərs fənni",""
"Geografie (Erdkunde)","coğrafiya","Dərs fənni",""
"Kunst","rəsm / incəsənət","Dərs fənni",""
"Sozialkunde","sosial elmlər","Dərs fənni",""
"Physik / Chemie","fizika / kimya","Dərs fənni",""
"der Deutsche, -n","alman (kişi)","Ölkə/Milliyyət",""
"die Deutsche, -n","alman (qadın)","Ölkə/Milliyyət",""
"auf Deutsch","almanca","Ölkə/Milliyyət",""
"das Abendessen, -","şam yeməyi","Essen",""
"das Hähnchen, -","toyuq əti","Essen",""
"der Reis (Sg.)","düyü","Essen",""
"die Kartoffel, -n","kartof","Essen [cite: 5]",""
"die Butter (Sg.)","kərə yağı","Essen",""
"das Salz, -e","duz","Essen",""
"der Zucker (Sg.)","şəkər","Essen",""
"das Ei, -er","yumurta","Essen [cite: 2]",""
"der Saft, -e","şirə","Getränke [cite: 7]",""
"das Bier, -e","pivə","Getränke",""
"der Wein, -e","şərab","Getränke",""
"der Stuhl, -e","stul","Möbel",""
"der Tisch, -e","masa","Möbel [cite: 8]",""
"der Schrank, -e","şkaf","Möbel",""
"das Regal, -e","rəf","Möbel",""
"das Sofa, -s","divan","Möbel",""
"der Fernseher, -","televizor","Haushalt",""
"die Waschmaschine, -n","paltaryuyan maşın","Haushalt",""
"der Herd, -e","plitə / ocaq","Haushalt",""
"die Tasse, -n","fincan","Haushalt [cite: 8]",""
"der Teller, -","boşqab","Haushalt",""
"das Messer, -","bıçaq","Haushalt",""
"die Gabel, -n","çəngəl","Haushalt",""
"der Löffel, -","qaşıq","Haushalt",""
"der Kopf, -e","baş","Körper [cite: 5]",""
"das Haar, -e","saç","Körper [cite: 4]",""
"das Ohr, -en","qulaq","Körper",""
"die Nase, -n","burun","Körper",""
"der Mund, -er","ağız","Körper",""
"der Zahn, -e","diş","Körper [cite: 8]",""
"der Hals, -e","boğaz / boyun","Körper [cite: 4]",""
"der Rücken, -","bel / arxa","Körper",""
"die Hand, -e","əl","Körper",""
"der Finger, -","barmaq","Körper",""
"das Bein, -e","ayaq (topuqdan yuxarı)","Körper",""
"der Fuß, -e","ayaq (pəncə)","Körper [cite: 3]",""
"das Knie, -","diz","Körper",""
"die Kleidung (Sg.)","geyim","Kleidung",""
"die Hose, -n","şalvar","Kleidung",""
"das Hemd, -en","köynək","Kleidung",""
"das T-Shirt, -s","futbolka","Kleidung [cite: 8]",""
"der Rock, -e","yubka","Kleidung",""
"das Kleid, -er","don / paltar","Kleidung [cite: 5]",""
"der Schuh, -e","ayaqqabı","Kleidung",""
"die Socke, -n","corab","Kleidung",""
"der Hut, -e","papaq / şlyapa","Kleidung",""
"die Brille, -n","eynək","Alltag",""
"der Schlüssel, -","açar","Alltag",""
"die Geldbörse, -n","pulyanı / pul kisəsi","Alltag",""
"das Wetter (Sg.)","hava","Wetter",""
"die Sonne, -n","günəş","Wetter",""
"der Regen (Sg.)","yağış","Wetter [cite: 7]",""
"der Schnee (Sg.)","qar","Wetter",""
"der Wind, -e","külək","Wetter",""
"die Wolke, -n","bulud","Wetter",""
"heiß","isti (çox)","Wetter",""
"warm","isti","Wetter [cite: 8]",""
"kalt","soyuq","Wetter [cite: 5]",""
"bewölkt","buludlu","Wetter",""
"sonnig","günəşli","Wetter",""
"die Ampel, -n","işıqfor","Verkehr",""
"die Kreuzung, -en","yolayrıcı","Verkehr",""
"die Brücke, -n","körpü","Verkehr",""
"die Ecke, -n","bucaq / künc","Verkehr",""
"der Weg, -e","yol","Verkehr",""
"die Karte, -n","kart / bilet / xəritə","Verkehr [cite: 5]","Brief deyil"
"links","sola / solda","Richtung [cite: 5]",""
"rechts","sağa / sağda","Richtung [cite: 7]",""
"geradeaus","düz irəli","Richtung [cite: 3]",""
"oben","yuxarıda","Richtung",""
"unten","aşağıda","Richtung",""
"hinten","arxada","Richtung",""
"vorne","öndə","Richtung",""
"besuchen","ziyarət etmək","Fel [cite: 2]",""
"verstehen","başa düşmək","Fel [cite: 8]",""
"wissen","bilmək","Fel [cite: 8]",""
"denken","düşünmək","Fel [cite: 2]",""
"glauben","inanmaq","Fel [cite: 4]",""
"hoffen","ümid etmək","Fel [cite: 4]",""
"helfen (+ Dativ)","kömək etmək","Fel [cite: 4]",""
"danken (+ Dativ)","təşəkkür etmək","Fel [cite: 2]",""
"gratulieren","təbrik etmək","Fel",""
"einladen","dəvət etmək","Fel [cite: 2]",""
"bestellen","sifariş etmək","Fel",""
"verkaufen","satmaq","Fel",""
"bezahlen","ödəmək","Fel [cite: 2]",""
"öffnen","açmaq","Fel",""
"schließen","bağlamaq","Fel",""
"suchen","axtarmaq","Fel [cite: 7]",""
"finden","tapmaq","Fel [cite: 3]",""
"verlieren","itirmək","Fel",""
"gewinnen","qazanmaq","Fel [cite: 4]",""
"beginnen","başlamaq","Fel",""
"aufhören","dayandırmaq / bitirmək","Fel",""
"schreiben","yazmaq","Fel [cite: 7]",""
"lesen","oxumaq","Fel [cite: 5]",""
"hören","eşitmək / dinləmək","Fel [cite: 4]",""
"sehen","görmək","Fel [cite: 7]",""
"sprechen","danışmaq","Fel [cite: 7]",""
"sagen","demək","Fel [cite: 7]",""
"fragen","soruşmaq","Fel [cite: 3]",""
"antworten","cavab vermək","Fel [cite: 2]",""
"erzählen","nağıl etmək","Fel [cite: 3]",""
"wiederholen","təkrar etmək","Fel [cite: 8]",""
